"Subtype or CRFs","Sequence Name"
"A1","A1_UG85U455"
,"A1_UG9292UG037"
"A2","A2_CD9797CDKTB48"
,"A2_CY9494CY01741"
"B","B_NL0067100T36"
,"B_US90WEAU160"
"C","C_BR9292BR025"
,"C_BW9696BW0502"
"D","D_CM0101CM4412HAL"
,"D_TZ01A280"
"F1","F1_BE93VI850"
,"F1_FR96MP411"
"F2","F2_CM195MP255"
,"F2_CM95MP257"
"G","G_FI93HH8793121"
,"G_NG9292NG083"
"H","H_BE93VI991"
,"H_CF9090CF056"
"J","J_SE93SE7887"
,"J_SE94SE7022"
"K","K_CD97EQTB11C"
,"K_CM96MP535"
"CRF01_AE","01_AECF19090CF11697"
,"01_AETH90CM240"
"CRF02_AG","02_AGCM9797CMP807"
,"02_AGFR91DJ264"
"CRF03_AB","03_ABRU97KAL153"
,"03_ABRU98RU98001"
"CRF04_CPX","04_CPXG1R9197PVCH"
,"04_CPXGR9797PVMY"
"CRF05_DF","05_DFBEVI1310"
,"05_DFBE93VI961"
"CRF06_CPX","06_CPXAU96BFP90"
,"06_CPXML9595ML84"
"CRF07_BC","07_BCC1N9797CN001"
,"07_BCCN9898CN009"
"CRF08_BC","08_BCCN19797CNGX7F"
,"08_BCCN9898CN006"
"CRF10_CD","10_CDTZ19696TZBF071"
,"10_CDTZ9696TZBF110"
"CRF11_CPX","11_CPXF1R99MP1298"
,"11_CPXGRGR17"
"CRF12_BF","12_BFAR97A32989"
,"12_BFU1Y99URTR23"
"CRF13_CPX","13_CPXC1M961849"
,"13_CPXCM964164"
"CRF14_BG","14_BGE1S00X477"
,"14_BGES99X397"
